اسم المرفق,النوع,نوع المنشأة,القطاع,الحالة التشغيلية,المحافظة,المديرية
عياده الاهرام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامل الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده البشائر الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الفقيه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده العلاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده صحتي الطبيهالاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده البلسم الشافي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الثريا الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده اسعافيه (الش(الحياه الاسعافيه)فاء),عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المستقبل الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
العياده الاسعافيه الاوليه النموذجيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نبض الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ميار الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الخليل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الستين الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الثقه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده امل النموذجيه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده النواري الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامتياز,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده دار السلام,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ترست الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الستين الاسعافيه الامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الروحاني الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الرساله الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الخير الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الجوده الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده السلام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سر الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحياه الجديده الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده البركه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده  سرالشفاء النموذجيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الاخلاص الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده صحتي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده شرف الطبيه اسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الثلاياء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده العفاف,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده روح الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الوحده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الرعايه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشفاء الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده دروب الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشيماء الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده دار الطبيب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ازال الطبيه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المغربي الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحكيم الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابو المعتصم الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده اسعافيه (يمن السلام),عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده السلام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده د/ عبدالسلام العزب اسعافات اوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده النور الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحمد الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سبااء(3),عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده بشير الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده بسمه شفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشرف الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحياه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الميثاق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سر الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده د/ عبدالواحد المصنف اسعافات اوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نبض الحياه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشفاء الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده االرافه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده  ابو عاهد الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابو منير,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده النخبه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده امل المستقبل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده يمن السلام,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشرفي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الموده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحكمه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الايمان الطبيه الحديثه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشعب,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشفاء النمودجيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الالفه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحياه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الدوحه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده السلام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده رزان الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده السنينه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده شريان الحياه النموذجيه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الفاروق,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الخير والسلام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الجزيره الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده العصيمي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الابرار الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحياه الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده اوسان الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الرضاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نبض الحياه الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده مكه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الصلاحي الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابو طه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الاحلام الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده القاهره الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامير الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامانه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الهلال الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابن هزاع,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده مختار الشويع,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نور الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الصمود الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابو ياسرالاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الحياه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المروان الاسعافيه الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الصائدي الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سبل الخير,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ابراهيم الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الرهيم الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المعمري,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المجتمع الطبي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الابتهال,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الاسره,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده طيبه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده التقوي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نوران الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
العياده الطبيه الاولى,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سماء الطبيه اسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده رفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الزهراء الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده النيل الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الواثق بالله,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده تروست الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الاقصي الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الرحاب الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده التوكل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الوحده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الفلاح الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الموده الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عيادهالعطاءالاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الامل,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نور الحياه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده نسيم الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الاوربي الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الصباحي,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الالماني,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده المختار,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الموده,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشام,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده برج الاسكندريه الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده تاج الطبيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده صحتك تهمنا,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده لطف الباري الاسعافيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده سر الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده الشريف,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ميدكال,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
عياده ومختبرات بلسم الوادي الحديثه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,معين
مستشفى ازال النموذجي,مستشفى عام,نساء وولاده - باطنيه - جراحه عامه - اسنان - انف واذن وحنجره - عظام - مسالك بوليه - مخ واعصاب - قلب مفتوح - قسطره قلبيه - غسيل كلوي - زراعه كلى - رنين- مقطعيه - ماموجراف - مناظير وجهاز هضمي - عيون - ماموجراف - وحده اشعاع - مناظير وجهاز هضمي,خاص,-,امانة العاصمه,معين
مستشفى الاوروبي الحديث,مستشفى عام,باطنيه – اطفال – نساء وتوليد – جراحه عامه – جراحه مناظير – جراحه المخ والاعصاب – قلب وقسطره – جراحه التجميل –  جراحه المسالك البوليه – جراحه العظام والمفاصل,خاص,-,امانة العاصمه,معين
مستشفى الرباط التخصصي,مستشفى عام,نساء وولاده - باطنيه - جراحه عامه - اسنان - انف واذن وحنجره - عظام - مسالك بوليه - مخ واعصاب -,خاص,-,امانة العاصمه,معين
مستشفى د عزالدين الشيباني التخصصي,مستشفى عام,نساء وولاده - باطنيه - جراحه عامه - اسنان - انف واذن وحنجره - مسالك بوليه - مخ واعصاب - عظام - مقطعيه,خاص,-,امانة العاصمه,معين
مركز الجلديه الاستشاري,مركز,امراض جلديه,خاص,-,امانة العاصمه,معين
مركز الحوراء الطبي,مركز,نساء وولاده -جلديه - باطنيه,خاص,-,امانة العاصمه,معين
برو فوكاس للاشعه الرقميه,اشعة,بانوراما,خاص,-,امانة العاصمه,معين
عياده الشفاء لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,معين
عياده احلام الفقيه,عيادة,اسنان,خاص,-,امانة العاصمه,معين
عياده احمد الاشول,عيادة,اسنان,خاص,-,امانة العاصمه,معين
عياده اماني النهاري  لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,معين
عياده العنايه المتكامله لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,معين
عياده طه الصايدي,عيادة,اسنان,خاص,-,امانة العاصمه,معين
مختبر ايديل لاب,مختبر,عام,خاص,-,امانة العاصمه,معين
عياده سحر حسن صلاح,عيادة,نساء وولاده,خاص,-,امانة العاصمه,معين
عياده رفعت ردمان لطب الاطفال,عيادة,اطفال,خاص,-,امانة العاصمه,معين
عياده نساء وولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,معين
مركز ازال سكان,مركز,اشعة تشخيصية,خاص,-,امانة العاصمه,الثوره
مركز الخطوط الجوية اليمنية الطبي,مركز,نساء وولادة - باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز الشرق الطبي,مركز,نساء وولادة - باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز الهادي,مركز,عام نساء وولادة - باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز برج سبأ الطبي,مركز,نساء وولادة - باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز ميديسينا الطبي,مركز,نساء وولادة - باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز عيدروس باعلوي الطبي,مركز,عام - نساء وولادة - اسنان - اطفال,خاص,-,امانة العاصمه,الثوره
مركز الاريج الطبي,مركز,عام نساء وولادة -باطنية - جهاز هضمي - اسنان - عظام,خاص,-,امانة العاصمه,الثوره
مركز سليم خيلة,مركز,نساء وولادة - باطنية - مناظير الجهاز الهضمي والكبد,خاص,-,امانة العاصمه,الثوره
مركز المراره والفتوق,مركز,عام - باطنية - قلب - نساء وولادة - اسنان,خاص,-,امانة العاصمه,الثوره
مركز الكوثر,مركز,باطنية - اطفال - نساء وولادة,خاص,-,امانة العاصمه,الثوره
مركز جلعوم الطبي,مركز,باطنية - اسنان,خاص,-,امانة العاصمه,الثوره
اشعة فاتك,اشعة,بانوراما,خاص,-,امانة العاصمه,الثوره
مركز الارتقاء لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
عيادة  الهام المحمدي,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة  داود العريفي,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة اثمار المنيفي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة البشائر لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الميار لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة بشرى العرامي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة عصام الصايدي,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
الابتسامة المشرقة,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
العيادة الحديثة,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
العيادة الحديثة النموذجية,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة ابراهيم المولد,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة اشواق زيد,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الابتسامة الصحية,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الجمال,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الفرسان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة ايلجنت,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة ايمان العاقل,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة حنان سريع,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة سمارت سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة شيماء الفقية,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة عابد علي عبد القادر,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة عبد الوهاب الحداد  لتقويم الاسنان والوجه والفكين,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة عبير فخر الدين,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة محمد بشر,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة محمد مرغم,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة نور,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
مختبر الحسين,مختبر,اساسي,خاص,-,امانة العاصمه,الثوره
مختبرات العولقي -   الثورة,مختبر,تخصصي,خاص,-,امانة العاصمه,الثوره
مختبر ابن الهيثم,مختبر,عام,خاص,-,امانة العاصمه,الثوره
مختبر الحياة,مختبر,عام,خاص,-,امانة العاصمه,الثوره
مختبر الرعيني,مختبر,عام,خاص,-,امانة العاصمه,الثوره
مختبر الفؤاد الطبي,مختبر,عام,خاص,-,امانة العاصمه,الثوره
مختبر بيتا لاب,مختبر,عام,خاص,-,امانة العاصمه,الثوره
عيادة  احمد السوسوه - جراحة مخ واعصاب,عيادة,مخ واعصاب,خاص,-,امانة العاصمه,الثوره
عيادة اسماء العطير,عيادة,جلدية,خاص,-,امانة العاصمه,الثوره
عيادة اماني قطينة,عيادة,جلدية وتناسلية,خاص,-,امانة العاصمه,الثوره
عيادة بلقيس الانسي,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة تهاني الدرويش,عيادة,باطنية,خاص,-,امانة العاصمه,الثوره
عيادة جميلة عقلان,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة خديجة الرعيني,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة رتيبة طاهر,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة روزا احمد,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة محمد الجوبي,عيادة,باطنية,خاص,-,امانة العاصمه,الثوره
عيادة نضال سيف,عيادة,اطفال,خاص,-,امانة العاصمه,الثوره
عيادة هيلث كلينك,عيادة,جلدية,خاص,-,امانة العاصمه,الثوره
عيادة يحيى غانم,عيادة,باطنيه جهاز هضمي,خاص,-,امانة العاصمه,الثوره
عيادة افراح المرتضى,عيادة,اطفال,خاص,-,امانة العاصمه,الثوره
عيادة عبد الخالق النونو,عيادة,قلب,خاص,-,امانة العاصمه,الثوره
عيادة غاده القدسي لامراض النساء والولادة,عيادة,نساء وولادة,خاص,-,امانة العاصمه,الثوره
عيادة الشفاء للاسعافات الاولية,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,الثوره
مستشفى الملك التخصصي,مستشفى عام,عام / نساء وولاده- جراحه عامه - باطنيه - اطفال- انف واذن وحنجره-اسنان-عظامم,خاص,-,امانة العاصمه,الثوره
مستشفى سباء التخصصي,مستشفى عام,عام/ اطفال - باطنيه ـ نساء وولاده -عظام - انف واذن وحنجره - مخ واعصاب,خاص,-,امانة العاصمه,الثوره
مستشفى سلامتك التخصصي,مستشفى عام,باطنيه - اسنان - انف واذن وحنجره - عظام - نساء وولاده - اطفال,خاص,-,امانة العاصمه,الثوره
مستشفى الامل التخصصي,مستشفى عام,عام/ جراحه عامه ، باطنيه، نساء وولاده ، انف واذن وحنجره - عظام,خاص,-,امانة العاصمه,الثوره
مستشفى القاهره النموذجي,مستشفى عام,عام/ اسنان - انف واذن وحنجره - عظام - مسالك بوليه -باطنيه - نساء وولاده - جراحه عامه,خاص,-,امانة العاصمه,الثوره
مستشفى تونس التخصصي,مستشفى تخصصي,تخصصي / جراحه عامه - انف واذن وحنجره,خاص,-,امانة العاصمه,الثوره
د عبدالوهاب عجلان التخصصي,مستشفى عام,جراحه عامه،باطنيه،نساء وولاده،اطفال,خاص,-,امانة العاصمه,الثوره
مستشفى رويال الدولي,مستشفى تخصصي,تخصصي عيون وانف واذن وحنجره,خاص,-,امانة العاصمه,الثوره
مركز الأمين الطبي الجراحي,مركز,تخصصي جراحة عامة - نساء وولاده - انف واذن وحنجره,خاص,-,امانة العاصمه,الثوره
مركز الترياق الطبي,مركز,تخصصي انف واذن وحنجره,خاص,-,امانة العاصمه,الثوره
مركز علي الخزان,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
المركز الطبي النموذجي  الاول,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز ابو علاء الطبي,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز التعاون الطبي,مركز,اسنان ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز الجزائر الطبي,مركز,نساء وولادة -  واسنان,خاص,-,امانة العاصمه,الثوره
مركز الريان الطبي,مركز,اطفال ـ نساء ـ باطنيه - جلدية - اسنان,خاص,-,امانة العاصمه,الثوره
مركز المؤمن الطبي,مركز,نساء ـ باطنيه  - اسنان,خاص,-,امانة العاصمه,الثوره
مركز دار الصحة,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز سبأ ميدكل الطبي,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز نبض الشفاء,مركز,باطنية - اطفال - نساء وولادة,خاص,-,امانة العاصمه,الثوره
مركز وطن الطبي,مركز,اطفال ـ نساء ـ باطنيه,خاص,-,امانة العاصمه,الثوره
مركز يمن فارما الطبي,مركز,اطفال ـ نساء ـ باطنيه ـ مخ واعصاب,خاص,-,امانة العاصمه,الثوره
مركز اثراء,مركز,علاج طبيعي,خاص,-,امانة العاصمه,الثوره
مركز جنه للعلاج الطبيعي,مركز,علاج طبيعي,خاص,-,امانة العاصمه,الثوره
مركز قدرات للعلاج الطبيعي,مركز,علاج طبيعي,خاص,-,امانة العاصمه,الثوره
مركز لنكن للعلاج الطبيعي,مركز,علاج طبيعي,خاص,-,امانة العاصمه,الثوره
اشعة الصفاء للاسنان,اشعة,بانوراما,خاص,-,امانة العاصمه,الثوره
عيادة عبير الاسودي للأشعة,اشعة,تلفزيون,خاص,-,امانة العاصمه,الثوره
المركز العالمي للاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
مركز احلى ابتسامة,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
مركز اوجي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
مركز دار الأطباء,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
مركز العماري للاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
مركز حسين الشرفي,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الثوره
عيادة عالم الابتسامه لطب اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
العيادة العربية الأولى,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
العيادة الملكية,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عبادة البسمه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة  اماني طب أسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة  عصام حميد,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة ابتسامة الرضى طب أسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الامل لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الانفال,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الأكحلي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الترا سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الروضي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الفؤاد للأسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة الكافي,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة المثالي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة المنار,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة النهضة,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة بسمات لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة بيوتي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة حسناء,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
عيادة حنش لطب الأسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الثوره
